15 de janeiro de 2010 - 12h29	ONU vê esperança para acordo climático obrigatório	SUSTENTABILIDADE	Não tem imagem	ONU vê esperança para acordo climático obrigatório para que ele possa decolar", disse Stern. "A melhor forma de fazer progresso em direção a um acordo legal é conseguir implementar o acordo de Copenhague." O enviado especial do Departamento de Estado dos Estados Unidos para as mudanças climáticas lançou esperança sobre o resultado incerto da conferência	https://sustentabilidade.estadao.com.br/noticias/geral,onu-ve-esperanca-para-acordo-climatico-obrigatorio,496235
14 de janeiro de 2010 - 20h18	Governo de SP inaugura piscinão em Taboão da Serra	GERAL	Não tem imagem	Governo de SP inaugura piscinão em Taboão da Serra , que tem capacidade de 800 mil metros cúbicos. A obra custou ao Estado R$ 41,4 milhões. A prefeitura da Capital colaborou com R$ 7 milhões para a desapropriação do terreno.O piscinão é o sexto da região da Bacia do Rio Pirajuçara. "A gente não sabe até onde as mudanças climáticas vão levar as chuvas	https://www.estadao.com.br/noticias/geral,governo-de-sp-inaugura-piscinao-em-taboao-da-serra,495868
14 de janeiro de 2010 - 19h26	EUA pedem que outros países adotem metas de emissões de carbono	INTERNACIONAL	Não tem imagem	EUA pedem que outros países adotem metas de emissões de carbono estabelece a meta de limitar o aquecimento global a 2 graus Celsius acima dos níveis pré-industriais, prevê medidas de ajuda financeira e tecnológica para que os países em desenvolvimento enfrentem a mudança climática, mas deixa os detalhes para serem resolvidos em 2010	https://internacional.estadao.com.br/noticias/america-do-norte,eua-pedem-que-outros-paises-adotem-metas-de-emissoes-de-carbono,495833
14 de janeiro de 2010 - 14h07	Cientistas atrasam o Relógio do Fim do Mundo em 1 minuto	CIÊNCIA	https://busca.estadao.com.br/fotos/krauss-int.jpg	Cientistas atrasam o Relógio do Fim do Mundo em 1 minuto da civilização. Desde 2007 e até o ajuste anunciado hoje, o relógio vinha marcando 5 para as doze.   Após COP, Europa quer retomar influência na questão climática Conferência do Clima recusa texto acertado entre EUA, China e Brasil Instalação nuclear do Irã pode ser bombardeada, diz general   Os ponteiros	https://ciencia.estadao.com.br/noticias/geral,cientistas-atrasam-o-relogio-do-fim-do-mundo-em-1-minuto,495661
14 de janeiro de 2010 - 12h32	Falta de água fará América Latina agir contra aquecimento	SUSTENTABILIDADE	Não tem imagem	Falta de água fará América Latina agir contra aquecimento para conciliar os conflitos de prioridades que atrapalharam as negociações em Copenhague. Primeiramente, como os países industrializados procuram as melhores maneiras de gastar os bilhões de dólares prometidos em ajuda para a adaptação às mudanças climáticas nos países em desenvolvimento, eles devem centrar	https://sustentabilidade.estadao.com.br/noticias/geral,falta-de-agua-fara-america-latina-agir-contra-aquecimento,495597
13 de janeiro de 2010 - 18h46	Venezuela inicia racionamento de energia em meio a confusão	INTERNACIONAL	Não tem imagem	Venezuela inicia racionamento de energia em meio a confusão os horários de corte no abastecimento para preparar planos de contingência. Os jornais comparam a situação com a que Cuba viveu alguns anos atrás. A medida também provocou mudanças em eventos como a final do campeonato nacional de beisebol, esporte mais popular do país	https://internacional.estadao.com.br/noticias/america-latina,venezuela-inicia-racionamento-de-energia-em-meio-a-confusao,495153
13 de janeiro de 2010 - 17h32	Após COP, Europa quer retomar influência na questão climática	SUSTENTABILIDADE	Não tem imagem	Após COP, Europa quer retomar influência na questão climática unânime dos Estados-membros da União Europeia, alguns dos quais já entraram em atrito pelo corte de 20%.  Funcionários da União Europeia dizem que qualquer reabertura das negociações sobre mudanças climáticas no bloco conduziria, mais provavelmente, a um enfraquecimento das metas já existentes sob	https://sustentabilidade.estadao.com.br/noticias/geral,apos-cop-europa-quer-retomar-influencia-na-questao-climatica,495113
13 de janeiro de 2010 - 16h10	Pastos têm grande potencial para atenuar mudança climática	SUSTENTABILIDADE	Não tem imagem	Pastos têm grande potencial para atenuar mudança climática Os campos têm enorme potencial para mitigar as mudanças climáticas através da absorção e armazenamento de CO2, segundo um novo relatório da Organização das Nações Unidas para a Alimentação e a Agricultura (FAO), anunciado nesta quarta-feira.  Pradarias e pastagens são um sumidouro de carbono	https://sustentabilidade.estadao.com.br/noticias/geral,pastos-tem-grande-potencial-para-atenuar-mudanca-climatica,495072
13 de janeiro de 2010 - 15h25	Novo sistema de radar poderá prever tempestades oceânicas	PACÍFICO	Não tem imagem	Novo sistema de radar poderá prever tempestades oceânicas . "Estando esses fenômenos provavelmente conectados às mudanças climáticas que vêm ocorrendo na Terra, restam dúvidas se seriam o produto do aquecimento global pela liberação de gases de efeito estufa ou se representam variações dos ciclos climáticos naturais que ocorrem na Terra a intervalos de algumas	https://sustentabilidade.estadao.com.br/noticias/geral,novo-sistema-de-radar-podera-prever-tempestades-oceanicas,495054
13 de janeiro de 2010 - 12h31	Quem é que dorme agora?	SUSTENTABILIDADE	Não tem imagem	Quem é que dorme agora? , a China assinou, aprovou e está pronta para construir um projeto 20 vezes maior", diz Gross. Sim, a mudança climática é preocupante para Pequim, mas os líderes chineses sabem que em seu país ocorre a maior migração de pessoas do campo para os centros urbanos da história. Isso aumenta repentinamente	https://sustentabilidade.estadao.com.br/noticias/geral,quem-e-que-dorme-agora,494956
13 de janeiro de 2010 - 00h00	Emergentes discutem nova meta	AQUECIMENTO GLOBAL	Não tem imagem	Emergentes discutem nova meta Menos de um mês depois do fracasso em Copenhague, os países começam a retomar as negociações na área de mudança climática e já têm de apresentar algumas lições de casa. O primeiro encontro do qual o País vai participar é uma reunião do Basic (grupo que reúne Brasil, África do Sul, Índia e China	https://www.estadao.com.br/noticias/geral,emergentes-discutem-nova-meta,494636
13 de janeiro de 2010 - 00h00	Hillary tenta salvar laços com Japão	DIPLOMACIA	Não tem imagem	Hillary tenta salvar laços com Japão de lado preocupações com direitos humanos e enfatizou a cooperação sobre questões como comércio e mudanças climáticas. Na segunda-feira, porém, ela adotou uma linha mais dura, dizendo que Washington era um contrapeso necessário a Pequim. Ela deve usar a viagem para convidar a China a usar sua influência	https://www.estadao.com.br/noticias/geral,hillary-tenta-salvar-lacos-com-japao,494709
13 de janeiro de 2010 - 00h00	Tragédia anunciada	ESPAÇO ABERTO	Não tem imagem	Tragédia anunciada de Caraguatatuba, matando 120 pessoas e destruindo 400 casas no seu caminho para o mar, ainda hoje enlameado.O que chama a atenção nestes dois últimos casos, além da violência das chuvas, é a ocupação praticamente nula na área de Caraguatatuba atingida pelos escorregamentos. Das mudanças climáticas, culpadas	https://www.estadao.com.br/noticias/geral,tragedia-anunciada,494694
13 de janeiro de 2010 - 00h00	Decreto ficou parado na Casa Civil para ajustes por duas semanas	GOVERNO	Não tem imagem	Decreto ficou parado na Casa Civil para ajustes por duas semanas do presidente.Na Casa Civil, a proposta de decreto ficou na gaveta e nas mesas dos assessores durante 13 dias ? foi entregue por Vannuchi no dia 8 de dezembro. Em parte desse período, Dilma estava na Dinamarca, onde participou da Conferência da ONU para Mudanças Climáticas. Lula lamentou que a polêmica	https://www.estadao.com.br/noticias/geral,decreto-ficou-parado-na-casa-civil-para-ajustes-por-duas-semanas,494652
13 de janeiro de 2010 - 00h00	2010 pode ter mês de janeiro mais quente em 4 anos	CLIMA	Não tem imagem	2010 pode ter mês de janeiro mais quente em 4 anos de mudança climática. Existe um indicativo, mas são necessários mais pesquisas e mais tempo para aumentar a base de comparação", diz a meteorologista. A previsão do Inpe é de que o El Niño continue até meados de 2011.CALOR E ÁGUA POUCO FRESCADepois de dias de calor intenso, que levaram muita gente	https://www.estadao.com.br/noticias/geral,2010-pode-ter-mes-de-janeiro-mais-quente-em-4-anos,494739
